motif	num_nodes	erdos_p	num_nodes	mean
13	500	1	0	248
1	500	1	104668	104707
2	500	1	0	0
3	500	1	0	419
4	500	1	0	0
5	500	1	0	0
6	500	1	0	176
7	500	1	0	0
8	500	1	0	0
9	500	1	41	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	418
13	500	1	0	248
1	500	1	103312	103353
2	500	1	0	0
3	500	1	0	414
4	500	1	0	0
5	500	1	0	0
6	500	1	0	172
7	500	1	0	0
8	500	1	0	0
9	500	1	44	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	413
13	500	1	0	248
1	500	2	3437	3927
2	500	2	0	2
3	500	2	36	31
4	500	2	0	0
5	500	2	0	0
6	500	2	0	0
7	500	2	0	0
8	500	2	0	0
9	500	2	1923	1984
10	500	2	0	0
11	500	2	0	7
12	500	2	0	31
13	500	2	498	994
1	500	2	3880	4369
2	500	2	0	2
3	500	2	47	35
4	500	2	0	0
5	500	2	0	0
6	500	2	0	0
7	500	2	0	0
8	500	2	0	0
9	500	2	1902	1984
10	500	2	0	0
11	500	2	0	7
12	500	2	0	34
13	500	2	498	994
1	500	2	3571	4061
2	500	2	0	2
3	500	2	39	32
4	500	2	0	0
5	500	2	0	0
6	500	2	0	0
7	500	2	0	0
8	500	2	0	0
9	500	2	1932	1984
10	500	2	0	0
11	500	2	0	7
12	500	2	0	32
13	500	2	498	994
1	500	2	3667	4157
2	500	2	0	2
3	500	2	33	33
4	500	2	0	0
5	500	2	0	0
6	500	2	0	0
7	500	2	0	0
8	500	2	0	0
9	500	2	1927	1984
10	500	2	0	0
11	500	2	0	7
12	500	2	0	33
13	500	2	498	994
1	500	2	20292	20748
2	500	2	0	2
3	500	2	126	166
4	500	2	0	0
5	500	2	0	0
6	500	2	0	6
7	500	2	0	0
8	500	2	0	0
9	500	2	1760	1984
10	500	2	0	0
11	500	2	0	7
12	500	2	0	165
13	500	2	498	994
1	500	2	17448	17910
2	500	2	0	2
3	500	2	122	143
4	500	2	0	0
5	500	2	0	0
6	500	2	0	5
7	500	2	0	0
8	500	2	0	0
9	500	2	1660	1984
10	500	2	0	0
11	500	2	0	7
12	500	2	0	143
13	500	2	498	994
1	500	2	18022	18483
2	500	2	0	2
3	500	2	126	148
4	500	2	0	0
5	500	2	0	0
6	500	2	0	5
7	500	2	0	0
8	500	2	0	0
9	500	2	1667	1984
10	500	2	0	0
11	500	2	0	7
12	500	2	0	147
13	500	2	498	994
1	500	2	18568	19028
2	500	2	0	2
3	500	2	140	152
4	500	2	0	0
5	500	2	0	0
6	500	2	0	5
7	500	2	0	0
8	500	2	0	0
9	500	2	1650	1984
10	500	2	0	0
11	500	2	0	7
12	500	2	0	152
13	500	2	498	994
1	500	2	143400	143610
2	500	2	0	2
3	500	2	364	1150
4	500	2	0	0
5	500	2	0	2
6	500	2	0	332
7	500	2	0	4
8	500	2	0	2
9	500	2	966	1984
10	500	2	0	2
11	500	2	0	7
12	500	2	0	1147
13	500	2	498	994
1	500	2	138403	138623
2	500	2	0	2
3	500	2	449	1110
4	500	2	0	0
5	500	2	0	2
6	500	2	0	310
7	500	2	0	4
8	500	2	0	2
9	500	2	1026	1984
10	500	2	0	2
11	500	2	0	7
12	500	2	0	1107
13	500	2	498	994
1	500	2	212600	212671
2	500	2	0	2
3	500	2	493	1703
4	500	2	0	0
5	500	2	0	3
6	500	2	0	729
7	500	2	0	6
8	500	2	0	5
9	500	2	606	1984
10	500	2	0	3
11	500	2	0	7
12	500	2	0	1699
13	500	2	498	994
1	500	2	183946	184074
2	500	2	0	2
3	500	2	488	1474
4	500	2	0	0
5	500	2	0	2
6	500	2	0	546
7	500	2	0	5
8	500	2	0	4
9	500	2	688	1984
10	500	2	0	2
11	500	2	0	7
12	500	2	0	1471
13	500	2	498	994
1	500	3	7931	8660
2	500	3	0	8
3	500	3	139	104
4	500	3	0	0
5	500	3	0	0
6	500	3	0	1
7	500	3	0	0
8	500	3	0	0
9	500	3	4309	4455
10	500	3	0	0
11	500	3	0	26
12	500	3	0	103
13	500	3	1492	2234
1	500	3	8178	8907
2	500	3	0	8
3	500	3	155	107
4	500	3	0	0
5	500	3	0	0
6	500	3	0	1
7	500	3	0	0
8	500	3	0	0
9	500	3	4269	4455
10	500	3	0	0
11	500	3	0	26
12	500	3	0	106
13	500	3	1492	2234
1	500	3	8077	8806
2	500	3	0	8
3	500	3	155	105
4	500	3	0	0
5	500	3	0	0
6	500	3	0	1
7	500	3	0	0
8	500	3	0	0
9	500	3	4298	4455
10	500	3	0	0
11	500	3	0	26
12	500	3	0	105
13	500	3	1492	2234
1	500	3	8494	9222
2	500	3	0	8
3	500	3	132	110
4	500	3	0	0
5	500	3	0	0
6	500	3	0	1
7	500	3	0	0
8	500	3	0	0
9	500	3	4261	4455
10	500	3	0	0
11	500	3	0	26
12	500	3	0	110
13	500	3	1492	2234
1	500	3	45561	46215
2	500	3	0	8
3	500	3	560	555
4	500	3	0	0
5	500	3	0	1
6	500	3	0	34
7	500	3	0	3
8	500	3	0	0
9	500	3	3629	4455
10	500	3	0	1
11	500	3	0	26
12	500	3	0	553
13	500	3	1492	2234
1	500	3	33113	33792
2	500	3	0	8
3	500	3	423	405
4	500	3	0	0
5	500	3	0	1
6	500	3	0	18
7	500	3	0	2
8	500	3	0	0
9	500	3	3913	4455
10	500	3	0	1
11	500	3	0	26
12	500	3	0	404
13	500	3	1492	2234
1	500	3	36367	37039
2	500	3	0	8
3	500	3	495	444
4	500	3	0	0
5	500	3	0	1
6	500	3	0	22
7	500	3	0	2
8	500	3	0	0
9	500	3	3666	4455
