motif	num_nodes	erdos_p	occurences	mean
2	10000	0.001	0	221
1	10000	0.001	1	553144
2	10000	0.001	0	223
1	10000	0.001	1	546500
2	10000	0.001	0	219
1	10000	0.001	0	551342
2	10000	0.001	0	222
1	10000	0.001	1	548551
2	10000	0.001	0	220
1	10000	0.002	8	2101624
2	10000	0.002	0	1545
1	10000	0.002	8	2087663
2	10000	0.002	0	1530
1	10000	0.002	15	2099097
2	10000	0.002	0	1541
1	10000	0.002	7	2118175
2	10000	0.002	0	1563
1	10000	0.002	9	2102703
2	10000	0.002	0	1545
1	10000	0.002	6	2092901
2	10000	0.002	0	1535
1	10000	0.005	317	12807194
2	10000	0.005	0	22252
1	10000	0.005	301	12754356
2	10000	0.005	0	22119
1	10000	0.005	299	12790644
2	10000	0.005	0	22220
1	10000	0.005	343	12767829
2	10000	0.005	0	22140
1	10000	0.005	302	12812884
2	10000	0.005	0	22275
1	10000	0.005	298	12746404
2	10000	0.005	0	22106
1	10000	0.01	5038	50564615
2	10000	0.01	0	172050
1	10000	0.01	5028	50388924
2	10000	0.01	0	171156
1	10000	0.01	4931	50477740
2	10000	0.01	0	171600
1	10000	0.01	4875	50508871
2	10000	0.01	1	171817
1	10000	0.01	4849	50496746
2	10000	0.01	0	171677
1	10000	0.01	5129	50400229
2	10000	0.01	0	171225
1	10000	0.02	81202	200707271
2	10000	0.02	8	1350394
1	10000	0.02	79923	200876206
2	10000	0.02	12	1352300
1	10000	0.02	80072	200518595
2	10000	0.02	10	1348671
1	10000	0.02	79549	201048660
2	10000	0.02	14	1353974
1	10000	0.02	82433	201179405
2	10000	0.02	12	1355151
1	10000	0.02	80557	200701068
2	10000	0.02	7	1350239
1	10000	0.05	3126124	1250871376
2	10000	0.05	2538	20917139
1	10000	0.05	3151199	1251915475
2	10000	0.05	2636	20943864
1	10000	0.05	3108211	1250511730
2	10000	0.05	2652	20908641
1	10000	0.05	3150162	1251582088
2	10000	0.05	2638	20934120
1	10000	0.05	3177765	1250903285
2	10000	0.05	2653	20918075
